"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,2,0,1
0,0,0,0,1,1,1,1,4,3
0,0,0,0,0,2,0,2,7,1
0,0,0,0,0,2,2,1,3,4
0,0,0,1,0,3,2,1,1,4
0,0,4,0,1,2,1,3,3,2
0,0,2,0,2,5,0,2,1,1
0,0,0,0,0,0,0,4,8,4
0,0,4,0,1,1,1,3,1,5
0,0,1,2,2,6,1,3,5,3
0,0,0,1,1,3,1,2,7,5
0,0,0,4,4,3,4,3,3,4
0,0,0,1,6,3,5,3,3,7
0,0,0,1,1,2,2,8,4,3
0,0,0,0,4,5,6,6,11,3
0,0,0,3,3,8,9,3,11,3
0,0,0,1,2,2,5,15,8,15
0,0,0,2,2,7,10,7,15,18
0,0,0,1,2,4,7,13,16,21
0,0,0,2,4,2,14,17,26,23
0,0,0,0,6,8,11,21,18,21
0,0,1,2,2,8,7,25,27,32
0,0,0,2,5,9,15,18,22,40
0,0,0,2,7,8,22,24,28,44
1,0,1,3,5,8,17,33,31,29
0,1,2,2,6,15,23,20,40,32
0,0,1,2,6,12,25,29,36,54
0,1,0,5,5,8,11,19,34,36
0,0,1,1,9,13,17,30,21,47
0,0,3,2,7,5,23,35,27,55
0,0,1,2,1,13,12,27,32,56
0,0,0,4,8,9,19,24,33,51
0,0,2,2,6,11,12,16,23,41
0,1,1,5,6,7,15,18,20,47
0,0,0,2,2,7,9,13,28,58
0,0,4,8,4,5,12,15,20,49
0,0,1,5,5,6,8,14,25,42
0,0,0,0,4,8,18,12,25,42
0,0,0,2,2,13,5,13,16,30
0,0,2,3,7,6,13,7,15,46
0,0,0,2,5,15,6,11,17,35
0,0,0,3,6,3,12,12,12,35
0,0,1,5,3,3,9,9,13,34
0,1,2,7,3,3,7,14,15,43
0,0,1,4,4,5,5,12,18,37
1,0,0,1,4,7,12,10,16,34
2,0,0,2,2,8,13,14,17,32
0,1,0,2,2,6,10,13,8,30
0,0,0,1,1,4,3,12,10,20
0,0,1,1,5,5,8,4,18,24
0,0,1,1,3,2,6,7,7,25
0,2,1,1,1,4,5,10,12,20
0,0,1,1,3,3,5,7,9,30
0,0,2,1,2,3,9,7,10,24
0,0,2,1,2,4,6,4,11,22
0,0,1,1,2,3,5,0,5,22
0,1,1,0,3,1,5,4,8,11
0,0,1,0,1,4,6,4,4,12
0,0,1,3,4,4,6,6,1,12
0,0,0,4,0,4,2,6,7,19
0,1,1,1,3,4,5,6,4,17
0,0,0,3,4,4,4,2,7,10
0,0,0,1,0,1,5,3,9,10
0,0,0,2,6,4,2,5,8,13
0,0,2,0,1,5,1,1,5,17
0,0,0,0,0,5,3,3,5,13
1,0,1,2,5,1,2,5,7,12
0,0,0,3,3,0,3,2,2,10
0,0,0,0,1,2,6,8,6,14
0,0,0,2,2,3,2,3,6,13
0,0,0,2,1,1,7,3,3,12
0,0,0,1,4,2,3,4,3,7
0,0,0,2,2,4,6,3,7,16
0,0,0,1,6,2,2,4,5,18
1,0,1,3,2,7,4,3,4,12
0,0,0,1,3,1,9,4,5,9
0,1,0,2,3,1,3,3,8,7
0,0,0,2,3,4,3,3,0,3
0,0,0,1,1,2,4,5,3,9
0,0,2,2,4,4,6,7,10,3
0,0,1,0,4,3,0,2,2,6
0,0,0,1,1,1,1,5,4,13
0,0,0,0,2,4,3,9,1,13
1,0,0,1,2,2,3,4,2,14
0,0,0,2,3,3,5,1,2,6
0,1,0,0,3,1,4,2,6,11
0,0,1,2,1,1,3,8,8,30
0,0,0,3,5,4,8,4,8,14
0,2,0,1,0,1,4,2,3,9
0,0,0,3,2,2,1,5,4,11
0,0,0,0,2,1,1,3,2,5
0,0,2,2,5,3,2,7,10,6
0,0,0,3,4,2,5,2,2,7
0,1,0,4,6,2,6,3,2,9
1,0,0,4,3,2,3,4,3,9
0,0,0,1,1,2,1,8,5,9
0,0,0,1,2,4,2,3,4,6
0,1,0,3,0,3,7,3,3,2
0,0,0,2,3,3,3,3,7,5
0,0,0,4,2,3,4,3,4,4
0,0,1,1,1,1,3,5,2,2
1,0,0,3,1,4,8,3,6,1
0,0,0,0,3,4,4,5,6,9
1,0,2,2,2,7,4,2,4,6
0,0,0,0,3,1,3,4,1,6
0,0,1,5,3,4,4,4,4,11
0,0,0,1,2,2,0,4,5,5
0,0,0,1,3,2,4,5,4,5
0,0,3,0,4,4,6,9,2,11
0,0,0,2,3,1,1,5,6,15
0,0,2,3,4,6,2,4,3,14
0,0,2,0,2,4,3,4,8,10
0,0,0,2,3,3,7,5,9,5
0,0,0,1,1,6,7,3,3,15
0,1,0,1,0,4,1,9,6,10
0,0,0,1,5,3,1,3,6,8
0,0,0,2,1,1,5,7,6,11
0,0,0,3,2,2,2,7,6,9
0,0,0,2,5,1,5,8,1,10
0,0,0,2,3,2,4,5,3,8
0,0,0,5,2,3,1,6,2,9
0,1,0,2,1,1,3,1,7,9
0,0,0,3,2,0,3,5,6,10
0,0,2,5,2,2,6,6,8,15
0,1,1,3,1,0,5,5,4,10
0,0,0,8,2,4,1,3,3,11
0,0,1,4,4,4,3,2,4,13
0,0,0,2,4,1,1,6,6,12
0,0,0,1,3,1,2,6,8,14
0,0,0,2,0,2,4,11,3,9
0,0,0,3,2,3,2,8,4,10
0,0,0,0,3,1,1,8,3,2
0,0,1,0,1,3,4,3,3,7
0,0,0,4,0,1,3,7,3,8
0,0,1,0,2,4,6,2,6,4
0,1,0,4,2,2,1,7,4,8
0,0,1,2,3,3,1,2,6,6
0,0,0,0,1,2,5,4,5,7
0,0,1,1,1,2,3,6,1,7
0,0,0,4,3,1,3,5,5,3
0,0,0,1,2,2,5,6,4,7
0,0,0,1,3,5,1,4,4,6
0,0,0,2,2,2,2,2,3,7
0,0,1,0,3,4,1,4,4,7
0,0,0,1,3,4,1,7,4,8
0,0,0,2,0,2,3,3,6,5
0,0,2,2,0,3,3,2,3,7
0,0,0,2,0,1,4,1,2,5
0,0,1,3,3,1,3,0,5,6
0,0,0,0,0,2,1,4,4,6
0,1,0,0,1,0,5,3,7,2
0,0,0,2,3,4,3,2,2,1
0,0,1,3,1,2,1,3,2,6
0,0,1,4,2,0,1,3,4,4
0,0,0,1,1,1,3,2,1,3
0,0,0,0,0,3,2,2,2,5
0,0,0,1,1,3,0,3,2,6
0,0,0,1,0,0,2,2,3,10
0,0,3,2,0,1,1,5,8,19
0,0,1,0,0,2,0,2,5,11
0,0,1,1,0,2,3,1,4,6
0,0,0,2,1,0,5,5,5,7
0,0,1,2,2,3,4,4,3,8
0,0,0,1,0,1,1,3,2,4
0,0,0,1,2,1,0,1,1,4
0,0,0,1,1,3,1,2,2,5
0,0,0,2,0,3,2,5,5,9
0,0,0,1,0,1,2,3,3,7
0,0,0,0,2,3,2,5,5,5
0,0,0,2,1,1,1,2,5,3
0,1,0,1,0,3,3,4,2,7
0,0,0,2,0,2,3,1,4,7
0,0,0,2,1,1,3,3,1,4
0,0,0,2,1,1,1,3,4,7
0,0,1,0,2,0,2,4,7,4
0,0,0,1,0,1,1,2,5,5
0,0,2,0,2,0,1,6,2,6
0,0,0,2,2,1,4,3,4,5
0,0,0,2,3,3,5,3,6,6
0,0,0,2,1,1,4,3,4,7
0,0,0,3,2,0,2,3,5,12
0,0,0,2,3,2,1,2,3,6
0,0,1,1,1,3,0,3,5,7
0,0,0,3,1,0,4,4,7,10
0,0,0,2,5,3,3,9,13,9
0,0,0,6,3,4,3,5,14,11
0,0,0,2,1,2,2,10,5,8
0,0,0,3,0,3,3,4,10,18
0,0,0,2,2,2,6,7,6,10
0,0,0,1,2,4,6,5,5,15
0,0,0,0,2,3,2,5,9,19
0,0,2,3,3,2,6,8,2,17
0,0,0,1,2,2,1,6,13,17
1,0,1,0,3,4,3,8,5,17
0,0,0,4,1,1,5,8,5,20
1,0,1,0,1,0,3,3,15,18
0,0,0,0,1,1,4,9,12,14
0,0,0,4,0,4,5,7,10,16
0,0,0,3,4,3,4,8,5,14
0,0,1,3,6,1,5,5,9,8
0,0,0,4,6,3,6,11,12,13
0,0,0,3,0,5,9,8,5,19
0,0,0,1,0,4,9,8,9,12
0,0,0,1,2,3,3,13,9,24
0,0,2,2,4,7,8,6,18,17
0,0,0,1,4,5,8,7,16,25
0,1,3,2,1,4,9,9,21,16
0,0,0,2,0,3,6,7,13,24
0,0,0,3,1,3,9,5,8,13
0,1,1,2,3,3,2,10,13,15
0,0,0,4,1,2,4,15,9,16
0,0,0,1,1,3,6,11,18,19
0,0,0,4,8,1,7,7,14,19
0,0,1,3,2,3,9,7,10,21
0,0,0,2,2,3,7,10,13,17
0,0,0,1,5,4,10,7,11,23
0,0,2,3,4,7,1,13,10,25
0,0,1,2,5,6,7,20,16,26
0,0,2,4,2,7,13,19,15,25
0,0,0,1,3,8,8,18,24,33
1,0,0,1,2,10,8,17,13,25
0,0,1,3,6,14,13,18,14,27
0,0,0,4,4,3,4,11,19,27
0,0,1,2,4,6,5,11,11,23
0,0,0,1,6,4,10,12,23,29
0,0,1,3,1,10,16,13,13,38
0,0,0,4,3,3,12,13,31,45
0,0,1,6,6,18,10,21,21,30
0,1,1,2,6,7,14,17,23,41
0,1,3,1,3,11,7,20,30,42
0,0,2,0,5,10,9,31,27,38
0,0,2,3,5,7,17,26,28,42
1,0,1,2,7,3,12,34,34,55
1,0,1,4,3,9,20,23,39,38
0,0,0,7,6,11,15,35,40,47
0,0,2,4,5,13,22,24,34,65
0,0,0,3,3,13,15,29,33,57
0,0,1,2,7,10,15,27,29,40
0,2,3,3,10,7,22,34,43,67
1,0,0,4,2,16,21,34,33,58
0,1,3,6,11,10,21,23,31,55
0,0,0,3,5,11,28,35,38,66
0,0,3,6,9,9,19,39,48,72
0,0,1,4,7,14,30,49,38,83
1,1,0,7,3,14,23,36,47,73
0,1,0,8,9,12,19,30,40,63
1,1,1,6,10,8,18,40,38,57
1,1,2,7,7,16,34,50,49,86
0,3,5,3,8,10,28,41,59,100
0,1,0,3,7,20,24,34,49,68
0,0,1,3,4,10,26,41,61,87
0,1,0,2,4,13,20,45,45,89
0,0,1,2,8,12,25,43,57,75
0,0,1,3,7,16,22,49,55,62
0,1,1,2,9,18,22,56,56,103
1,1,2,8,8,15,35,25,52,97
0,1,1,6,8,8,34,35,69,75
0,0,1,5,11,13,39,41,60,101
1,0,0,7,8,9,21,37,46,85
0,0,0,5,7,20,25,41,46,96
0,0,2,6,12,15,18,39,48,100
2,0,2,8,11,19,35,51,58,74
0,0,2,6,6,18,30,52,57,87
1,0,0,7,7,12,29,50,63,109
1,1,0,7,9,13,24,49,50,89
0,0,2,6,9,10,26,47,55,95
1,0,2,3,9,17,19,42,52,82
0,0,0,2,4,19,32,40,55,90
1,0,1,5,8,13,33,47,61,80
2,0,0,2,12,16,35,45,49,85
0,1,0,0,5,12,31,55,49,92
0,0,1,0,6,15,29,37,55,86
0,0,0,6,7,10,21,29,53,68
1,0,0,3,7,12,20,42,54,88
1,1,1,4,6,11,21,35,52,79
0,0,1,6,8,26,21,31,47,83
0,0,4,1,6,10,23,34,38,88
0,0,2,5,7,12,20,41,59,99
1,0,3,2,3,18,21,34,42,83
1,1,1,5,4,13,17,25,40,82
0,0,0,4,1,12,24,35,33,83
0,0,2,3,5,11,18,30,47,68
1,0,1,4,5,9,22,25,50,82
0,0,1,2,7,11,17,24,37,65
0,0,1,4,7,10,18,30,39,75
0,0,0,3,9,7,17,23,41,62
0,0,0,3,5,8,14,30,39,92
0,0,0,8,4,8,21,27,35,69
0,0,0,5,10,9,19,30,45,63
0,0,0,2,8,4,21,29,49,63
0,0,0,2,3,11,18,30,38,51
1,0,0,2,6,16,21,24,33,69
0,1,0,1,3,10,12,22,28,61
0,1,2,5,2,11,15,29,37,64
0,0,0,5,4,5,15,19,36,60
0,1,1,4,4,8,18,31,47,82
0,0,1,4,6,9,13,33,29,74
0,0,0,1,5,6,19,38,26,57
0,0,2,3,3,12,20,24,29,59
0,0,1,4,7,8,16,31,39,66
0,0,1,3,7,11,25,28,30,53
1,0,2,1,5,14,16,26,38,74
0,1,2,2,12,13,29,31,44,72
1,0,1,2,2,5,14,26,44,71
0,0,1,0,8,12,27,40,51,87
0,0,0,7,5,10,17,27,32,71
0,0,0,1,10,13,15,24,27,64
0,0,1,2,4,9,18,40,50,81
0,1,1,2,3,17,23,30,50,86
0,0,1,2,5,19,21,36,40,84
0,0,0,3,8,9,16,24,65,79
0,0,2,5,6,9,23,36,69,84
1,1,2,7,3,14,24,40,52,87
2,0,2,3,6,10,28,47,59,82
0,0,0,6,2,20,30,30,42,82
0,1,4,11,4,19,23,33,38,69
0,0,2,5,6,8,22,48,53,93
0,1,0,2,11,21,27,46,52,87
0,0,1,2,9,17,23,36,43,83
2,0,2,4,4,18,23,35,41,85
